numphoneme,phoneme,stress,duration,timef,f0,f0max,f0min,f1,f2,f3,intensity,intensitymax,id,rec
6,n,N,0.0995714386177512,0.576495117134322,102.391668039149,106.396568002309,98.5292253771833,275.38997249979,2031.95205558165,2760.95750984185,72.821442554533,74.5452501235735,subj1,8-1.csv
7,,,0.278118256527323,0.76533996470686,101.707974668008,104.166982321605,98.6737201806389,496.236977822549,1616.01993865134,2957.99078844934,51.7938616509568,69.2228434696713,subj1,8-1.csv
1,,,0.183492636891337,0.0917463184456686,-1,-1,-1,506.286905665275,1596.02614695529,2589.52325985877,50.6475448694346,67.5774423524791,subj1,7-2.csv
2,vʲ,F,0.0612994850728943,0.214142379427784,112.520776818374,116.433617502366,109.187129080948,338.053539040568,1948.2172493928,2361.98399213062,74.323932945884,76.3969377872036,subj1,7-2.csv
3,ɪ,2,0.0548800531234132,0.272232148525938,118.811455044688,119.540615502926,116.694618267275,327.570937464012,2246.22681737043,2745.63124434159,77.386373642806,77.8220665789752,subj1,7-2.csv
4,s,F,0.0818516638866393,0.340598007030964,-1,118.001764256134,117.906470684895,2037.44768714601,2955.34594964578,4041.12356627379,76.7917012475631,77.6359251778745,subj1,7-2.csv
5,c,P,0.120056095099578,0.441551886524073,-1,-1,-1,491.997839327861,2684.51123566493,3208.76723278956,63.8550861169933,70.9558729171227,subj1,7-2.csv
6,i,1,0.131243080071602,0.567201474109664,104.737542529498,113.766989020445,101.385158931732,274.915063401618,2344.07405885767,2658.77929705519,72.0810192672341,74.205478542667,subj1,7-2.csv
7,,,0.192551135514399,0.729098581902664,-1,-1,-1,467.794144796704,1660.27789054818,2829.89261547669,51.495532247013,56.2640194484759,subj1,7-2.csv
1,,,0.334052371979341,0.167026185989671,-1,-1,-1,527.819942334204,1816.71376407196,2689.87430054178,49.7928167034165,70.3242554638489,subj1,7-1.csv
2,vʲ,F,0.0830058211118792,0.375555282535281,115.867600265029,118.999796539551,113.577308997419,295.309307405761,2156.8125307582,2750.57879177652,74.52864863744,77.1369422242721,subj1,7-1.csv
3,i,1,0.0934932263220372,0.463804806252239,119.785235238443,121.490811054408,109.65123385976,277.082576722808,2515.68374956944,3233.72416269091,79.3066880996436,79.8132758692293,subj1,7-1.csv
4,s,F,0.0753305212759189,0.548216680051217,-1,109.632599943797,109.604711250868,2026.50747136946,3272.33561045669,4263.32517655345,75.0100889617409,75.7506993434001,subj1,7-1.csv
5,c,P,0.134284842274464,0.653024361826408,121.384626446312,122.224207089431,114.380443771742,649.098715023662,2351.63591492246,3006.68189752587,61.6233227914529,64.8784751903317,subj1,7-1.csv
6,əᶦ,3,0.0691439567266888,0.754738761326985,118.496052102646,131.595517207691,95.6274622494494,260.42692244057,2226.59676430136,2914.64811000402,64.1261311315923,65.8633158102459,subj1,7-1.csv
7,,,0.176539600445725,0.877580539913192,-1,103.006053690961,99.5245504991962,521.228008198759,1786.31226984092,3002.17937888776,50.7073098669395,58.4905686102057,subj1,7-1.csv
1,,,0.220680449977004,0.110340224988502,-1,-1,-1,463.066120651432,1723.20354532431,3057.67925272707,51.9683335914416,57.8392285710724,subj1,6-2.csv
2,p,P,0.0273597546071531,0.23436032728058,-1,-1,-1,692.742950620954,876.451994473121,2324.15501221285,70.7436445711103,76.6586087829032,subj1,6-2.csv
3,ɐ,2,0.0959991389724671,0.29603977407039,118.063285788687,119.090462138758,115.566245717896,632.437837314374,1132.25044492999,2572.20599963274,78.9726792711215,79.3071921882456,subj1,6-2.csv
4,r,L,0.0604347675375824,0.374256727325415,119.143310700612,124.895207993336,111.667168286773,643.547470699026,1823.34962436168,2584.15703391308,76.6837243260983,78.1741190376894,subj1,6-2.csv
5,a,1,0.0715640485495598,0.440256135368986,105.668913146063,111.550864696664,102.439071183361,667.648171428608,1174.80901857393,2386.63838397372,75.9511183456364,77.7525435692464,subj1,6-2.csv
6,,,0.226410819948071,0.589243569617801,103.012262017481,103.360366071034,100.995816396528,478.191402569081,1626.16367471766,2844.86814078679,55.0831864221556,71.2643637117117,subj1,6-2.csv
1,,,0.199859084218879,0.0999295421094393,-1,-1,-1,387.335923156305,1625.06475509455,2910.17260135507,50.9200544813485,59.0368573711522,subj1,6-1.csv
2,p,P,0.0315510957955408,0.215634632116649,-1,-1,-1,596.875020282321,1474.02251622809,2654.54671212544,73.7001692541545,81.2513696905613,subj1,6-1.csv
3,o,1,0.122875257467418,0.292847808748128,119.516856687382,123.539063662273,110.524281887541,565.531697703377,2371.04115991837,3463.79339189715,84.8499999761249,85.6202983742573,subj1,6-1.csv
4,r,L,0.0808681562207711,0.394719515592223,118.033979191553,126.637968758389,105.625001447087,761.355608111681,2057.97248286674,2665.0738132363,74.5431810214616,80.476974720444,subj1,6-1.csv
5,ə,3,0.0622258589786042,0.466266523191911,102.183231435203,105.473403377832,101.016842627029,654.605416750205,1292.65448297367,2256.95936252068,73.6916220772661,76.2582350988694,subj1,6-1.csv
6,,,0.327994696978651,0.661376801170538,-1,103.245262736142,100.986345363938,503.773133873929,1716.41284044147,2980.6833055179,51.5321090382417,68.3941256935396,subj1,6-1.csv
1,,,0.227940716470314,0.113970358235157,-1,-1,-1,469.239302670943,1690.16507164186,2996.79605763421,50.2177109576516,68.3244677208329,subj1,5-2.csv
2,d,C,0.0851227935990743,0.270502113269851,114.049761499277,124.639245003215,108.762462858496,419.597735767464,2448.23551189694,2999.92231609976,71.6718257695979,72.5712727154175,subj1,5-2.csv
3,ʊ,2,0.0761449989616719,0.351136009550224,123.553144659115,129.155352833579,122.057163255037,345.91990189734,615.008663694687,2253.77327540606,77.9242667730473,79.0395500123024,subj1,5-2.csv
4,xʲ,C,0.129014234048597,0.453715626055359,-1,123.377992581205,123.285044362199,851.940979741926,2668.24201660928,3611.72790515794,65.3803944659638,74.317500213905,subj1,5-2.csv
5,i,1,0.106070981086346,0.57125823362283,110.379205971034,117.991828384664,103.673382873182,320.486924613094,2242.70577414119,2511.00042730993,77.183489138844,78.8886164195146,subj1,5-2.csv
6,,,0.280105368804518,0.764346408568263,109.832754928145,113.457635772808,103.515850389137,542.606311408634,1524.74678293204,2952.40593377014,51.3665109231114,68.5210332877787,subj1,5-2.csv
1,,,0.247124683310576,0.123562341655288,-1,110.834489194341,110.005716454071,515.033737634448,1646.98280349424,3045.1670889132,50.5944385810436,53.3564651082464,subj1,5-1.csv
2,d,C,0.0826634084190131,0.288456387520082,122.794864212415,127.895842266157,111.215951279828,242.176831600681,1307.7401954695,2728.85508993158,71.1000519945374,76.2692755855926,subj1,5-1.csv
3,u,1,0.118484218733919,0.389030201096548,123.224250639018,128.845002771033,109.072413415155,315.003153938088,1022.8379931423,2359.70223307804,77.9612302436472,79.4641692704245,subj1,5-1.csv
4,xʲ,C,0.105051414865829,0.500798017896422,-1,109.220884080697,109.155086059768,2036.10189286931,2726.91875874135,3651.6801501577,65.455984681486,73.2426922015125,subj1,5-1.csv
5,əᶦ,3,0.088174302313614,0.597410876486144,105.076182526333,118.374217443924,102.949636991237,302.031344019137,2360.54068329514,2532.8790083958,73.4721007000816,76.379892251592,subj1,5-1.csv
6,,,0.280452085735734,0.781724070510818,-1,108.761439656903,105.459548049099,506.275517333975,2144.012578419,2882.31379084329,50.3078134689001,61.49115657276,subj1,5-1.csv
1,,,0.226344068470828,0.113172034235414,-1,-1,-1,502.438263701605,1799.12446088804,3083.80605250707,51.6374061480047,55.6632893383915,subj1,4-2.csv
2,x,F,0.0854655515540054,0.269076844247831,-1,-1,-1,1157.30969490118,1850.11914509919,3871.97163174247,59.9691180800642,72.5534243135448,subj1,4-2.csv
3,ɫ,L,0.0481773298554856,0.335898284952576,118.262759556361,121.263917450208,116.868938543286,489.833921140352,878.937073681987,2741.32011228089,79.4858103764543,81.006627482681,subj1,4-2.csv
4,ɐ,2,0.0624251486261685,0.391199524193403,123.836534196641,131.69690927251,116.066538139348,580.376547841646,917.955200177512,2679.22483613776,79.0273967905757,81.1412069161951,subj1,4-2.csv
5,p,P,0.098393113973939,0.471608655493457,-1,-1,-1,677.022515734047,2338.81623031171,3003.42149174845,54.327094306408,73.6624509201774,subj1,4-2.csv
6,o,1,0.0980340150178297,0.569822219989341,107.936869303949,110.270161720575,103.365604659357,448.904367591195,672.266715839361,2736.07199472851,77.4132025203574,79.0292073959652,subj1,4-2.csv
7,k,P,0.10708100916908,0.672379732082796,107.854054878164,108.163064545759,106.814955386884,695.466431830723,1640.95511187107,3154.31920579338,58.0097201007684,61.6066029733531,subj1,4-2.csv
8,,,0.169680670362142,0.810760571848407,-1,-1,-1,470.748679619479,1699.28269760768,3018.76036067887,51.777402920113,54.151353161935,subj1,4-2.csv
1,,,0.218000062746434,0.109000031373217,-1,-1,-1,474.840317448131,1602.49437655246,3070.54159953001,51.0644266636005,55.8145381960042,subj1,4-1.csv
2,x,F,0.0940465916940754,0.265023358593472,473.66494396681,484.1167393918,470.404368909675,886.450160077176,1868.03388183142,3597.50268762944,58.9768359753247,74.8312882064765,subj1,4-1.csv
3,ɫ,L,0.0454815811890539,0.334787445035037,119.672097516861,120.525252060485,116.977152338371,565.83389550377,3021.78340070067,3703.9189210263,79.6624895156267,80.5845328987209,subj1,4-1.csv
4,o,1,0.100413629995523,0.407735050627325,115.077546613086,119.371622237337,111.200713129089,519.963607218509,811.888531944021,2878.37441832885,81.999803712452,82.4205573645576,subj1,4-1.csv
5,p,P,0.116551046833506,0.516217389041839,112.245442353022,114.32541359789,109.590075981003,447.740778181614,1199.49878715079,2952.68149811036,59.2211602485023,74.8334979963426,subj1,4-1.csv
6,ə,3,0.0434061192434194,0.596195972080302,-1,-1,-1,479.722351390902,969.241369724185,3024.8441993088,70.3542573212194,71.6681907094212,subj1,4-1.csv
7,k,P,0.124167764251315,0.679982913827669,-1,-1,-1,543.148040935285,1622.79740825334,3018.01666748947,56.2690035275978,62.9209155639706,subj1,4-1.csv
8,,,0.232581730123771,0.858357661015212,-1,-1,-1,433.529379480517,1642.90537580816,2905.26574471345,50.4760422631769,52.9804247170622,subj1,4-1.csv
1,,,0.183473490394425,0.0917367451972123,-1,138.318238874507,137.821545338925,467.26873753973,1899.18429437894,3163.8399017388,50.993518608707,68.7137583642894,subj1,35-2.csv
2,mʲ,N,0.053877312187924,0.210412146488387,114.303590772061,136.996488579151,112.664950699333,277.007776042797,2005.32247702296,3490.08384917797,76.346030636153,78.5405065132585,subj1,35-2.csv
3,ɪ,2,0.0532202717953884,0.263960938480043,114.258374657645,115.599844970605,113.884106191718,338.712148590453,1948.60452696052,2511.93044135584,79.3883200482127,80.0693566769577,subj1,35-2.csv
4,ɫ,L,0.0777497797833863,0.32944596426943,114.023789031492,115.510654697828,110.105036905323,343.884489710373,885.092009311129,2706.82819887967,79.978507038642,80.1972997783171,subj1,35-2.csv
5,a,1,0.124618661117597,0.430630184719922,104.292859106828,110.00859398964,96.3996321079585,699.487611584291,1177.22360860481,2633.86187754799,76.7622457292653,79.2027587386437,subj1,35-2.csv
6,,,0.235858670662323,0.610868850609882,-1,102.420687152603,99.818092510889,953.090285162933,2076.82616437434,3311.58931382118,54.6612443870941,67.9389508767934,subj1,35-2.csv
1,,,0.238563101009984,0.119281550504992,-1,139.317746612116,136.089437180373,477.774848719097,1741.15005559099,2840.04880149215,51.2067973822461,69.6895455318748,subj1,35-1.csv
2,mʲ,N,0.0666701338402521,0.27189816793011,115.605693071739,135.920690427002,114.780613852214,280.168755046544,1888.7951874455,3311.88161218383,78.1624490382595,79.9825257976611,subj1,35-1.csv
3,e,1,0.113671300992001,0.362068885346236,113.461978975571,118.856673530381,108.484795296865,551.052167659184,2128.25393704572,3050.86830015812,79.5646930961225,79.8319721142841,subj1,35-1.csv
4,ɫ,L,0.067691898343551,0.452750485014012,105.554834604195,108.357245384215,103.044328693745,431.10197689574,933.649139287346,2536.54447569601,76.5048482528272,78.266233026055,subj1,35-1.csv
5,ə,3,0.0641157225820049,0.51865429547679,101.189527601793,102.981335277312,98.6420020227466,637.84835962534,1040.9444177507,2718.68425419616,71.9935187890605,73.3713313901274,subj1,35-1.csv
6,,,0.327337729853523,0.714381021694554,-1,104.955007360337,98.6148165888192,480.483053064602,1636.99833395596,2824.1592959011,51.9993270122847,68.1898624052757,subj1,35-1.csv
1,,,0.336442240296838,0.168221120148419,-1,-1,-1,500.187380129511,1701.19466388686,2827.12877923022,50.9030404492703,54.071563490816,subj1,34-2.csv
2,p,P,0.0292877287737102,0.351086104683693,-1,-1,-1,1274.84116957248,2190.96343655087,3044.07146741795,63.714300180891,71.0629761187312,subj1,34-2.csv
3,ə,3,0.02046991796012,0.375964928050608,-1,-1,-1,336.051259408004,2183.31053909435,2883.0156743983,73.2793351972499,73.5027054576897,subj1,34-2.csv
4,sʲ,F,0.073691704656432,0.423045739358884,-1,-1,-1,1622.34499256538,2933.2542296719,3982.01567040622,69.0240770595247,72.7009959506412,subj1,34-2.csv
5,tʲ,P,0.119040445983467,0.519411814678833,-1,-1,-1,470.700214544189,1709.6611121451,2850.85646000099,61.7862198198816,75.4036866683302,subj1,34-2.csv
6,ɪ,2,0.0529068648815409,0.605385470111337,118.25801738423,119.40155135868,116.119471603184,321.720771795204,2024.59618017868,3060.51324190815,80.2831193353597,80.5476191391808,subj1,34-2.csv
7,lʲ,L,0.0636142065837576,0.663646005843987,111.566548125475,116.028110714555,109.235983830803,322.098949459778,2194.59057335549,2631.4484686916,77.278443691776,79.7297256994497,subj1,34-2.csv
8,i,1,0.112112166058503,0.751509192165117,105.219244557786,110.220192055795,100.473882392782,305.765171255715,2331.29384670577,3336.67713913744,74.7755503797624,76.8347077989419,subj1,34-2.csv
9,,,0.342684157912207,0.978907354150472,-1,105.63286276666,101.109539699414,525.054916618039,1649.77468354677,2939.30495640435,51.5946551419917,66.5457678443277,subj1,34-2.csv
1,,,0.29835392739001,0.149176963695005,-1,-1,-1,465.728577880822,1725.180972652,2605.85447114878,51.4611344760979,52.6156520952593,subj1,34-1.csv
2,p,P,0.0389393816975874,0.317823618238803,-1,-1,-1,599.202294377584,1508.19330419962,2815.2139356667,62.5522083610209,73.5746995996173,subj1,34-1.csv
3,ɐ,2,0.0654220326748491,0.370004325425022,113.449155120331,120.303803027171,111.010577880143,478.405084219126,2206.01021161404,3021.05939528984,79.3425960479931,79.9173502265798,subj1,34-1.csv
4,sʲ,F,0.0836401023819948,0.444535392953443,-1,111.662562461321,111.576328361479,1209.50851263638,2967.36590508208,3765.50503079179,72.7318609787887,75.4455139602961,subj1,34-1.csv
5,tʲ,P,0.115502998527517,0.544106943408199,-1,-1,-1,519.781071205532,2006.67380746963,3287.29449486146,63.3239447931138,78.4418049236076,subj1,34-1.csv
6,e,1,0.10241645189632,0.653066668620117,116.487725587989,126.538971627186,111.334800633157,407.929039271916,2242.82804656571,3249.47214580644,82.2743857017872,83.1100211108883,subj1,34-1.csv
7,lʲ,L,0.0733984571923627,0.740974123164459,106.330518520238,111.148380216132,102.698665679757,291.876805501554,1901.58156118811,2788.28436425724,76.5588741068316,81.9176361603832,subj1,34-1.csv
8,əᶦ,3,0.0893299052651236,0.822338304393202,102.384386136691,107.345253997729,99.9851814213392,406.361190851512,2233.89661082525,3137.51717597635,71.4878979311264,72.2844253312245,subj1,34-1.csv
9,,,0.265695155672649,0.999850834862088,-1,103.993933632926,98.6456563726335,512.719458910985,1650.56737090453,3029.59392178033,53.1655956453071,66.2369374208245,subj1,34-1.csv
1,,,0.305768229718804,0.152884114859402,-1,-1,-1,436.084642426777,1578.52890934894,2999.14458995638,52.2301266531945,54.2431898647787,subj1,33-2.csv
2,lʲ,L,0.0934123530672658,0.352474406252437,118.050180634402,119.221325088852,114.158415179581,555.540769449583,2043.15261277805,2769.62064818607,72.3584023916269,81.2619991451136,subj1,33-2.csv
3,ɪ,2,0.041976437137822,0.420168801354981,114.419989496893,114.65987215672,112.629689439152,445.365367021111,1786.01081423557,2601.82818070487,80.9171281071164,81.6083232593297,subj1,33-2.csv
4,s,F,0.135093181492849,0.508703610670317,-1,112.505344242907,112.368880366932,1717.09794046843,2393.78867942324,3927.2477131653,79.0424135196441,80.9040734735949,subj1,33-2.csv
5,a,1,0.125929311413466,0.639214857123474,103.46252590388,111.864228879852,98.7983462852086,728.064826301032,879.944536494478,1772.24784922194,74.7730527840911,77.6500851550868,subj1,33-2.csv
6,,,0.448069920276369,0.926214472968392,-1,104.316554476222,103.980771288979,457.542633683064,1823.22380694691,3284.59567661737,52.5846279104839,63.7008456507828,subj1,33-2.csv
1,,,0.324541571882912,0.162270785941456,-1,-1,-1,549.125210932775,1734.82956751414,2760.2101436532,51.6496373053352,69.1609741018404,subj1,33-1.csv
2,lʲ,L,0.0502146602194445,0.349648901992635,112.712647105849,116.696333485177,112.052867192758,329.2059972013,1801.32857724829,2535.35619908924,74.5549414758981,78.4283646045795,subj1,33-1.csv
3,e,1,0.115493718504722,0.432503091354718,112.064524471087,115.896244491643,108.189178384241,456.27719500441,2026.03881417961,2826.84402650955,81.4863591420889,82.5381571510486,subj1,33-1.csv
4,s,F,0.145749006360535,0.563124453787347,-1,108.200492263601,107.932800759607,623.354830398355,2105.27693241194,3105.40334984899,72.8396269255161,75.2700745430057,subj1,33-1.csv
5,ə,3,0.0609911251315796,0.666494519533404,102.317999658625,107.673256146942,96.1332928971926,686.790150103445,1627.00568643546,3644.18961826436,70.8965531650286,71.7907104753703,subj1,33-1.csv
6,,,0.374234407696724,0.884107285947556,-1,106.142528302329,95.6958287897713,419.762243246065,1716.79253776684,2990.44990923759,50.8641198505135,66.2236428869993,subj1,33-1.csv
1,,,0.241755297975218,0.120877648987609,-1,-1,-1,519.242565435612,2122.82539909991,3272.6771162556,50.5835546463118,74.982183566333,subj1,32-2.csv
2,ʊ,2,0.0958010371202018,0.289655816535319,116.021967995506,120.891074295597,112.962591242873,454.820662306771,781.732238485561,2379.79919388015,78.9107750257638,79.5765036352387,subj1,32-2.csv
3,ʐ,F,0.0789897974332434,0.377051233812042,110.807237132156,114.771354072411,110.325250000108,1765.49781799684,3132.35818015922,3566.82126715583,75.0175673434253,77.616515560133,subj1,32-2.csv
4,e,1,0.123435951674106,0.478264108365717,107.301397165756,114.942004648834,101.099195444105,493.383050785663,1651.34364484617,2302.88582063351,77.4571016176702,79.9654289942874,subj1,32-2.csv
5,,,0.241491838699725,0.660728003552632,106.547976428645,108.547629266476,99.0950880388235,498.367354440332,1695.30077160546,3042.12268247654,52.7539831190973,69.4777727307844,subj1,32-2.csv
1,,,0.326976533692177,0.163488266846089,-1,-1,-1,465.041744359185,1610.59303403195,2931.40076770461,50.5297965004237,71.8356576998951,subj1,32-1.csv
2,u,1,0.141506902334426,0.39772998485939,118.506310092385,123.673770702219,114.238077438381,334.030683388926,709.089430430692,2800.65361782375,80.5344477046547,80.8436687172855,subj1,32-1.csv
3,ʐ,F,0.084285531991543,0.510626202022374,106.186430917096,112.268295730249,104.934220799782,1626.7914027405,2990.3927113026,4306.02692160491,72.651304108703,77.5199585283632,subj1,32-1.csv
4,ə,3,0.105421353469545,0.605479644752918,104.083001401155,110.49182322396,101.186557393815,622.034198341203,1609.96924399328,3229.32379784747,74.1238768125466,76.8544278429483,subj1,32-1.csv
5,,,0.404258658104146,0.860319650539764,-1,103.401571831316,98.3249068710473,494.810884919654,1792.27059754231,2907.42092898099,51.277260536217,67.4990814902894,subj1,32-1.csv
1,,,0.264373015120241,0.13218650756012,-1,-1,-1,543.967534779541,1541.56625072784,2705.41659107806,50.5867555318324,53.0196988492747,subj1,31-2.csv
2,p,P,0.0331453280852875,0.280945679162885,-1,-1,-1,867.437579056751,1470.56401961823,3047.47318746659,65.8914711315264,74.7262730466989,subj1,31-2.csv
3,ɐ,2,0.0539867086237637,0.32451169751741,115.76375435132,116.669903815265,112.650718475166,617.90818869462,1238.62659859996,2167.50319721105,77.6029662882587,78.4591857251603,subj1,31-2.csv
4,ʂ,F,0.116761951209535,0.40988602743406,-1,113.468892584402,112.938549929934,1311.57469395213,1659.81549463052,3455.98415417003,70.7227125368088,72.9194892422071,subj1,31-2.csv
5,ɫ,L,0.0371629436107768,0.486848474844216,-1,117.590885173098,117.092078516478,495.201948534511,1778.64677276445,3427.69785982933,71.1886684161094,77.70000373307,subj1,31-2.csv
6,o,1,0.12605268711223,0.568456290205719,110.112642420041,116.907745539023,102.51397178337,585.831819620705,820.995062630973,2587.4520587264,79.1488109878379,80.8766729298744,subj1,31-2.csv
7,,,0.2377917426554,0.750378505089534,104.177030300675,107.837161033508,100.378551922121,474.082442842803,1869.96406331983,3076.35209695877,52.0027869279569,68.8909067729507,subj1,31-2.csv
1,,,0.268884304288851,0.134442152144425,-1,-1,-1,554.40150150932,1771.13039543322,3214.86390193977,50.6887505778339,57.8429719709035,subj1,31-1.csv
2,p,P,0.0237235582566264,0.280746083417164,-1,-1,-1,640.625452203086,2104.24732868437,3075.90961529861,71.1040154735709,77.701299127708,subj1,31-1.csv
3,o,1,0.121839509071069,0.353527617081012,117.184703268106,120.732179826835,108.731957557819,511.187968139722,884.292561468107,2325.3567732635,82.7821709093752,83.7667792679783,subj1,31-1.csv
4,ʂ,F,0.120667975330001,0.474781359281547,-1,108.549937415359,105.594859978714,1264.69390338721,2258.05402273904,3271.46532491438,67.5258614305794,74.8441707796493,subj1,31-1.csv
5,ɫ,L,0.0699991410288113,0.570114917460953,-1,-1,-1,571.887797111674,1621.19409478125,3211.10047778844,66.4118921944598,72.9023595131536,subj1,31-1.csv
6,ə,3,0.0975301839439087,0.653879579947313,101.358389767937,104.332947609047,99.80531170897,715.215937476114,1315.6603908646,2839.8051391491,68.6580788725433,72.971259109117,subj1,31-1.csv
7,,,0.324679591119281,0.864984467478908,-1,103.743661287054,103.283432305288,469.222850052201,1487.83461086909,2676.19524791035,51.0012942898458,60.0573705181803,subj1,31-1.csv
1,,,0.204925015828746,0.102462507914373,-1,-1,-1,523.318182516261,1780.30348882854,2814.34865497777,50.321541949519,55.9285787437907,subj1,30-2.csv
2,p,P,0.0268421026870783,0.218346067172285,-1,-1,-1,1622.94629186133,2682.40182622181,3790.48181406027,69.3810035800571,76.7374543761738,subj1,30-2.csv
3,ɪ,2,0.0438238411217604,0.253679039076705,118.505559023716,121.624941698572,110.821045601316,348.715309892235,1811.88683204459,2554.66642137813,79.8911332417625,80.6516061050158,subj1,30-2.csv
4,k,P,0.109011804790379,0.330096862032774,-1,115.050522704184,111.873718743766,427.706439801498,1521.53297097881,2948.21589384093,60.680328452549,73.3956870326088,subj1,30-2.csv
