position,mean,sd,median,min,max,skew,kurt
S,67.566,8.56,63.757,53.284,85.564,0.44,1.66
I,66.349,9.02,64.829,45.767,80.97,0.06,2.42
R,67.955,7.65,64.868,56.585,85.357,0.48,1.79
T,64.029,5.88,62.404,52.694,78.408,0.8,2.76
F,62.05,5.67,60.861,49.747,76.089,0.57,2.74
O,67.207,6.85,64.838,59.853,80.012,0.45,1.82
