reduction,mean,sd,median,min,max,skew,kurt
1,0.148,0.04,0.143,0.041,0.321,0.58,3.76
2,0.075,0.03,0.072,0.031,0.177,0.82,3.92
3,0.089,0.03,0.087,0.015,0.188,0.49,3.12
