position,mean,sd,median,min,max,skew,kurt
S,164.151,55.55,142.613,86.52,334.078,0.69,2.4
I,165.676,54.48,138.269,99.202,238.723,0.13,1.22
R,156.459,53.05,122.776,92.659,330.139,0.56,1.89
T,173.2,68.23,133.432,88.331,311.911,0.34,1.49
F,194.041,81.08,158.372,91.288,397.518,0.38,1.72
O,158.733,55.12,137.069,97.899,233.034,0.19,1.21
