position,mean,sd,median,min,max,skew,kurt
S,147.502,45,124.753,82.695,261.951,0.42,1.7
I,159.505,52.55,129.532,95.449,237.091,0.15,1.21
R,151.383,50.76,119.369,88.714,269.39,0.49,1.52
T,164.698,62.01,122.959,86.96,290.701,0.29,1.42
F,173.167,69.91,134.103,88.562,392.412,0.52,2.1
O,152.094,52.76,119.887,97.309,219.573,0.27,1.16
