reduction,mean,sd,median,min,max,skew,kurt
1,67.566,8.56,63.757,53.284,85.564,0.44,1.66
2,67.708,7.87,64.868,45.767,85.357,0.36,2.03
3,63.058,5.97,61.543,49.747,80.012,0.66,2.84
