formant,mean,max,min,quar1,quar3,quin1,quin4
f0,154.612196463068,392.411639618805,82.6947213758228,108.72759054389951,202.5529857286075,105.6255799533962,212.1625730078328
f1,504.2284254992834,1580.28634196235,171.113003869785,382.630225659096,605.391927290946,353.18318297328005,638.8284746820366
f2,1633.9483347413993,2989.79504754395,532.548887931313,1177.22360860481,2096.97180478068,1096.51009697214,2182.750725143744
f3,2688.4669611576855,3967.9552230775,1755.47415761069,2425.65039739008,2891.49174320846,2384.375869344466,2980.8220039767157
