position,mean,sd,median,min,max,skew,kurt
S,69.205,8.61,65.081,54.037,85.924,0.39,1.56
I,67.754,8.49,65.48,51.619,81.408,0.33,1.97
R,68.978,7.56,66.033,57.546,85.568,0.43,1.73
T,65.456,5.59,64.064,53.672,78.882,0.72,2.75
F,64.157,5.5,62.945,54.4,78.145,0.75,2.69
O,67.863,6.71,65.299,60.165,80.188,0.43,1.76
