reduction,mean,sd,median,min,max,skew,kurt
1,135.033,43.83,109.905,81.261,239.44,0.46,1.5
2,146.145,48.47,116.119,81.565,233.302,0.38,1.36
3,156.806,61.88,122.923,85.263,379.296,0.56,2.21
