position,mean,sd,median,min,max,skew,kurt
S,135.033,43.83,109.905,81.261,239.44,0.46,1.5
I,152.966,52.15,124.706,86.61,232.646,0.14,1.23
R,145.07,47.94,115.939,81.565,233.302,0.42,1.39
T,154.839,59.91,119.277,85.263,260.878,0.37,1.39
F,159.26,64,127.072,85.385,379.296,0.63,2.5
O,144.652,53.83,108.545,89.485,211.642,0.27,1.13
