reduction,mean,sd,median,min,max,skew,kurt
1,147.502,45,124.753,82.695,261.951,0.42,1.7
2,152.489,50.94,120.28,88.714,269.39,0.44,1.46
3,168.939,66.35,132.703,86.96,392.412,0.49,2.03
