reduction,mean,sd,median,min,max,skew,kurt
1,69.205,8.61,65.081,54.037,85.924,0.39,1.56
2,68.79,7.7,66.02,51.619,85.568,0.4,1.81
3,64.84,5.68,63.485,53.672,80.188,0.73,2.68
