reduction,mean,sd,median,min,max,skew,kurt
1,164.151,55.55,142.613,86.52,334.078,0.69,2.4
2,157.713,53.19,124.813,92.659,330.139,0.5,1.77
3,184.773,76.17,142.431,88.331,397.518,0.45,1.85
