position,mean,sd,median,min,max,skew,kurt
F,0.401,0.11,0.401,0.104,0.768,0.58,4.55
I,0.321,0.12,0.338,0.127,0.515,-0.09,1.74
O,0.202,0.05,0.205,0.11,0.28,-0.23,2.19
R,0.304,0.09,0.292,0.114,0.603,0.58,3.43
S,0.606,0.12,0.618,0.23,1,-0.56,3.55
T,0.299,0.08,0.297,0.085,0.592,0.27,4.56
